title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25
Evidence of Trust: African Wholesale and Retail Store:,5,"Have a lot of desirable items, and variability. The workers are kind, and if there is any load that might be to heavy, like yam, there always ready to help!",2022-07-06T14:23:39.792Z,0,,12,TRUE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURPdnZPR1hnEAE,,,,,,,Google,,113796005037305824220,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,Wonderful place with a variety of African goods reminds me of home. 👍👍👍,2022-07-01T20:50:03.330Z,0,,52,TRUE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURPc3BXbllnEAE,,,,,,,Google,,100000083274171134580,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,Nice store and they have everything you want and the mama there is nice person😃 ❤ 😍,2022-06-24T13:03:42.896Z,1,,1,FALSE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURPd1BpNkNnEAE,,,,,,,Google,,106204033657507270742,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,One stop for all your African food stuff,2022-06-23T02:18:25.058Z,1,,12,FALSE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNPejZQcFZ3EAE,,,,,,,Google,,102716590265045843711,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,The best in town!!,2022-05-05T00:05:54.977Z,0,,2,FALSE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQyeUkyQll3EAE,,,,,,,Google,,115345941404785639477,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,,2024-04-23T01:10:00.383Z,0,,,FALSE,2024-04-23T19:33:11.893Z,,a day ago,,,,$1–10,Highly recommend,Take out,4,5,5,ChdDSUhNMG9nS0VJQ0FnSUNqc2NlRGhBRRAB,,,,,,,Google,,112739869706716083884,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,"I decided to do a 14 day fast with just juicing and boy this place was the best. Everything fresh. This place is no joke. As far as smoothies African Queen and Banana Bread will blow your mind. Don’t mind me try em all! Definitely a place to kickstart a healthier lifestyle. This place is an 8th wonder, and I will never stop coming here.",2024-04-17T19:02:15.370Z,0,,9,FALSE,2024-04-18T18:01:45.047Z,,a week ago,,Other,,$10–20,Highly recommend,Take out,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNqdUx5Z3BRRRAB,,,,,,,Google,,111957066592968906845,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,1,Pathetic customer service. I used to order açaí bowls at least once a week. Decided to try something new and I had an allergic reaction to the granola because it has sunflower and chia seeds in it. I asked for a new one without the granola because obviously I should have been informed of that. When I got there the cashier lied and told me she needed the receipt to try and get the bowl back. When I handed her the receipt without it she then decided to tell me the manager Denise wanted the bowl back before they would make me another one. They could never get my business again.,2024-04-16T01:36:57.431Z,0,,2,FALSE,2024-04-16T17:11:00.944Z,,a week ago,,Other,,$10–20,,Take out,1,1,1,ChZDSUhNMG9nS0VJQ0FnSURENzdyaGZBEAE,,,,,,,Google,,114713574948974651248,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,,2024-03-25T20:13:14.101Z,0,,1,FALSE,2024-03-26T18:44:43.116Z,,4 weeks ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNEX05MZmFREAE,,,,,,,Google,,116250497632061683349,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,Just ordered off of door dash a peach me I'm dreaming I'm in heaven this is So so good will be ordering again thank you omg,2024-03-23T19:42:26.906Z,0,,54,TRUE,2024-03-25T14:57:18.739Z,,a month ago,,,,,,Delivery,,,,ChdDSUhNMG9nS0VJQ0FnSUNEeU1qRXRBRRAB,,,,,,,Google,,105282513796707048315,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,4,,2024-03-22T15:52:03.638Z,0,,,FALSE,2024-03-25T15:06:02.582Z,,a month ago,,Other,,$20–30,,Take out,4,4,4,ChdDSUhNMG9nS0VJQ0FnSUQ5Nzl6MXpnRRAB,,,,,,,Google,,114623667572817793694,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,1,,2024-03-21T15:32:59.921Z,0,,,FALSE,2024-03-22T14:27:16.555Z,,a month ago,,,,$1–10,,Delivery,1,,1,ChZDSUhNMG9nS0VJQ0FnSUQ5LS16NWZ3EAE,,,,,,,Google,,101042505519325413763,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,,2024-03-09T19:18:23.747Z,0,,12,FALSE,2024-03-12T17:29:16.213Z,,a month ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUM5eTh6Wm53RRAB,,,,,,,Google,,110401025062367473499,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,"I am a regular at Cafe Juice Up, go here for all my healthy needs, even when I need a boost in how I feel. Smoothies always come out the way that I like them, sweet and fresh! I also love the açaí bowls, just wish they were bigger for the price that I’m paying. Haitian patties are also really good - I’ve tried both chicken and beef. Can’t go wrong with either or! Sometimes the service is a bit off, some employees good service more than others. But other than that, the environment is accommodating and welcoming.",2024-03-06T20:40:43.208Z,0,,2,FALSE,2024-03-08T17:17:52.214Z,,a month ago,,Lunch,,$10–20,,Take out,4,5,4,ChZDSUhNMG9nS0VJQ0FnSUM5aWNuTlRBEAE,,,,,,,Google,,104379265548985505111,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,"I absolutely love it here! Been going for years, and they stay true to superb customer service. The quality of their smoothies and food are also top notch. Definitely worth a visit especially if you are vegan, or into a healthier lifestyle.",2024-03-06T19:04:34.152Z,0,,4,FALSE,2024-03-08T17:18:02.496Z,,a month ago,,,,$10–20,,Take out,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUM5OGNXaGx3RRAB,https://lh5.googleusercontent.com/p/AF1QipNPzFMwUezP_xNUsmoDlkhWRccfe-q9ZzkvYxLN=w150-h150-k-no-p,,,,,,Google,,109566319325309630914,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,"Honestly my favorite place in Boston to get healthy options. From the smoothies to the fresh fruit and juices, I love it!",2024-03-06T19:02:33.339Z,0,,1,FALSE,2024-03-08T17:18:06.697Z,,a month ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUM5OGJuMWlBRRAB,,,,,,,Google,,101671043936548286432,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,,2024-03-06T17:49:00.835Z,0,,1,FALSE,2024-03-08T17:24:10.512Z,,a month ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUM5c2R2dFlBEAE,,,,,,,Google,,107081950651773613399,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,I love this smoothie place. I go every day to get my daily juices and smoothies. Now they have soups ....*TAKE ALL MY COINS*,2024-03-06T13:19:42.564Z,0,,1,FALSE,2024-03-06T17:22:17.120Z,,a month ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUM5NGYzWGJ3EAE,,,,,,,Google,,112475447767759865935,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,"First time there, great services, great staff and atmosphere. Only regret was not getting a Large size of that Jamaican Me Thirsty smoothie😀🔥🔥🔥 I will definitely come back next time in the area.",2024-02-16T01:48:17.453Z,2,,52,TRUE,2024-02-19T14:03:18.141Z,,2 months ago,,,,$10–20,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNkc2ZyVk5nEAE,https://lh5.googleusercontent.com/p/AF1QipM79kFC-FM1DbFyLk5VmFh_xT7lKai41YY-drY-=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOz8xkOayaBhPOzmWjfA02B0l7iFeKyhV9uDQ0k=w150-h150-k-no-p,,,,,Google,,115334684045178701555,,,,,,,,,,,,,,,,,,,,,,,
CAFE JUICEUP,5,,2024-02-09T15:00:53.361Z,0,,1,FALSE,2024-02-09T17:57:56.063Z,,2 months ago,,,,,,,4,5,5,ChZDSUhNMG9nS0VJQ0FnSUNkb0pfdlN3EAE,,,,,,,Google,,100699896192659539704,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',1,Horrible service.,2024-04-21T15:39:30.609Z,0,,126,TRUE,,,3 days ago,,,,,,Dine in,2,3,1,ChdDSUhNMG9nS0VJQ0FnSURxdXFDdjlBRRAB,,,,,,,Google,,103186748121499971434,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',4,,2024-04-12T03:49:02.249Z,0,,33,TRUE,,,a week ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUREeGFfcXpBRRAB,,,,,,,Google,,108357250339516600377,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',2,,2024-04-05T05:08:12.384Z,0,,256,TRUE,,,2 weeks ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURENkp6bWZ3EAE,,,,,,,Google,,102897318719414451924,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',4,,2024-03-27T21:02:24.274Z,0,,6,TRUE,,,3 weeks ago,,Breakfast,,$1–10,,Take out,3,4,3,ChZDSUhNMG9nS0VJQ0FnSUNENXJmUUdnEAE,,,,,,,Google,,102539821560460304954,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',2,"I can't say much about the atmosphere or the service but the food. Is absolute garbage. I work right down the street and unfortunately I can't leave to go get food during the day so occasionally I'll give them another chance thinking there is no way they can screw this up. Of course they do though. This time, how does a cinnamon raisin bagel come not toasted but somehow hard on the outside, doughy on the inside and somehow salty. I couldn't even get past the first bite. I feel like my insides would just give up if I tried. I used to be a major supporter of Dunkin donuts but then again I've never gotten such terrible food even with delivery. I order delivery at home all the time and it's never been close to as bad as what they've sent me from here. I'm thinking about going to get sick just in case right now. I've been nice enough to not complain before but I've given up.",2024-03-13T12:40:23.850Z,0,,21,FALSE,,,a month ago,,Breakfast,,$10–20,,Delivery,3,1,3,ChZDSUhNMG9nS0VJQ0FnSUQ5NU5iN0Z3EAE,,,,,,,Google,,102542765186243103915,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',1,I go to the Dunkin’ order the empanada a donut and they charge me $.50 for a large water but charge me the price of tea for hot water which is $2 and change……. Now what sense does that make. You mean to tell me that the water that you literally pour out the spout of the coffee maker you charge me $2 for……. That’s crazy!!!! The manager was nice when I spoke to her about it but the policy is dumb and puts the employees in an awkward situation when having to explain because IT MAKES NO SENSE TO THWM EITHER! If it’s for the cup cool say that but you could literally charge the same $.50 you charge for the large water.,2024-03-09T14:20:46.564Z,0,,2,FALSE,,,a month ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUM5c191Skp3EAE,,,,,,,Google,,109299090087420843388,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',2,Was their this morning young lady at the register really needs to be trained to greet people I had to say good morning I had to initiate a conversation she seemed like she didn't wanna be their..... It's not like my Brockton D&D 😎😎😎 ijs,2024-02-24T18:54:59.634Z,0,,54,TRUE,,,2 months ago,,Breakfast,,$1–10,,Take out,,3,1,ChZDSUhNMG9nS0VJQ0FnSURkaWFubUVBEAE,,,,,,,Google,,101230089294730338029,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',5,,2024-02-15T22:41:00.163Z,0,,28,TRUE,,,2 months ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNka2VQSmlBRRAB,,,,,,,Google,,103005759700258109623,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',5,,2024-02-04T22:25:51.611Z,0,,25,TRUE,,,2 months ago,,Breakfast,,$10–20,,Take out,4,4,4,ChZDSUhNMG9nS0VJQ0FnSUR0Z2VUaGR3EAE,,,,,,,Google,,111725646397809066264,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',4,Ok,2024-01-17T17:43:47.346Z,0,,278,TRUE,,,3 months ago,,Breakfast,,$10–20,,Take out,5,4,3,ChdDSUhNMG9nS0VJQ0FnSUNOcy1tWHdBRRAB,,,,,,,Google,,108741069140003168936,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',1,"Very poor customer service. Messed up my order, forget to give me what I ordered and I had to drive back to get it and then had a bad loud attitude about, while the manager was there
Not something I'm used to as a long-term Dunkin customer",2024-01-14T22:29:11.734Z,0,,115,TRUE,,,3 months ago,,Lunch,,$10–20,,,1,5,1,ChdDSUhNMG9nS0VJQ0FnSUNOdnZpRXFBRRAB,,,,,,,Google,,106935242392309081954,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',3,I had hot tea but I didn't eat there. The staff was friendly. It gets a bit crowded there but it's convenient.,2024-01-08T01:56:48.423Z,0,,181,TRUE,,,3 months ago,,Other,Plenty of parking,$10–20,,Dine in,4,,4,ChZDSUhNMG9nS0VJQ0FnSUQxOGNtYWNBEAE,,,,,,,Google,,109096869820080780884,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',4,These folks are rock stars!!,2023-12-16T19:14:21.608Z,0,,775,TRUE,,,4 months ago,,,,,,,,,4,ChdDSUhNMG9nS0VJQ0FnSURWMjdXdXp3RRAB,,,,,,,Google,,111199231281467385012,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',1,The worst dunkin' donut stop ever. Very poor consumer service.  One of the girl's actual used her bare hands to grab my bagel from the toaster and place it on a counter that I wasn't sure was clean. I refused the bagel and will definitely not be returning 😕,2023-12-05T05:01:46.188Z,1,,26,FALSE,,,4 months ago,,Breakfast,,$1–10,,Take out,,,,ChdDSUhNMG9nS0VJQ0FnSUNWeU1UbTNBRRAB,,,,,,,Google,,103962264853770223193,,,,,,,,,,,,,,,,,,,,,,,
Dunkin',5,,2023-12-01T15:34:09.063Z,0,,4,TRUE,,,4 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURsLXNHY0tnEAE,,,,,,,Google,,102849833485980653752,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,Just ate there for the first time and the Asian salmon bowl was delicious! Great service too :),2024-04-16T17:54:51.516Z,1,,13,FALSE,,,a week ago,,Lunch,,$10–20,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqNExqTlJREAE,,,,,,,Google,,115112212778333437122,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,,2024-04-04T16:25:40.183Z,0,,1,FALSE,,,2 weeks ago,,Lunch,,,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUREc0lMbTVnRRAB,,,,,,,Google,,112147799665692930665,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"I recently had lunch at Love & Light and it was fantastic! The meal was both delicious and healthy, with a refreshing smoothie that left me feeling energized. Choosing from their diverse menu was tough, but every option was tempting. I loved the Buddha bowl with salmon. Portion was generous, allowing me to enjoy leftovers the next day. I highly recommend this spot to anyone in the neighborhood looking for great healthy food and a welcoming atmosphere! Can't wait to go back! :)",2024-03-25T18:07:56.619Z,0,,1,FALSE,,,4 weeks ago,,Lunch,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNEdlB6TUJnEAE,https://lh5.googleusercontent.com/p/AF1QipOBshzYvnf6N6wuViRznTYKDOATK9KM2yiQhI5s=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMiqQfb59YqNDvmiZzZBLpKEP8HezHKii_IFEY3=w150-h150-k-no-p,,,,,Google,,113671273214872693627,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,4,Place has a nice atmosphere!  Stumbled upon this place during my walk through Rossy Square.,2024-02-20T18:31:12.123Z,4,,775,TRUE,,,2 months ago,,,,,,,4,4,4,ChdDSUhNMG9nS0VJQ0FnSURkNk5XeDlRRRAB,https://lh5.googleusercontent.com/p/AF1QipM-jSKxtFXHIFHTBEATi-xJ5tKHIx3xMW_7hNTO=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPa-L-_6ZmtRj9IIldr29GIyz8npOhjZcELO80Z=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNclX4M1xU4vtv0tTay36ODGwshP0eGnXHnWZ3C=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNWMBKLKl01JxP7lWh1T6G9-1V7yTJI_ecUot6t=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM-ujRzop9wKn5fFV49oajgnq7vzGN5xx4HetBS=w150-h150-k-no-p,,Google,,111199231281467385012,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Delicious coffee, food and smoothies great atmosphere and wonderful service!!",2023-12-26T20:50:13.778Z,1,,73,TRUE,,,3 months ago,,Lunch,,,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUMxMHBfLWZBEAE,,,,,,,Google,,102380754199290397879,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Delightful!  Lovely menu,  very fresh and delicious—burrata toast is amazing!  Great lattes. Let’s support this place—we need this option in Rozzi!",2023-12-17T15:23:36.857Z,1,,10,FALSE,,,4 months ago,,Breakfast,,$10–20,Highly recommend,Dine in,4,5,5,ChdDSUhNMG9nS0VJQ0FnSURWcDhiVTFnRRAB,,,,,,,Google,,116614418803596131549,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,,2023-12-10T03:29:47.719Z,0,,3,FALSE,,,4 months ago,,Lunch,,,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNWMzRlOVlREAE,,,,,,,Google,,106055774432409017454,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Delicious and healthy! I’ve tried one of their smoothies, a bowl, and a toast and everything was perfect! Very friendly staff as well. Nice to have a true healthy place in the area that serves real food and not just nutrition powder.",2023-12-03T16:43:26.108Z,0,,10,FALSE,,,4 months ago,,Lunch,,,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURsazhHbTV3RRAB,,,,,,,Google,,115817886912291274340,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Cute space, big portions, fresh food. Everything is delicious!",2023-11-29T18:39:50.658Z,1,,16,TRUE,,,4 months ago,,Brunch,,,Highly recommend,Dine in,,,,ChdDSUhNMG9nS0VJQ0FnSURsME1DV213RRAB,https://lh5.googleusercontent.com/p/AF1QipPTZp085WsoceLwwIeL8K-Qi1bHD8OEhvXfXsP2=w150-h150-k-no-p,,,,,,Google,,103261812606941035780,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,3,Giving it 3 stars because the beat juice and overnight oats started leaking everywhere from their containers before I even opened them. The juice spilled in my bag because the cap was not put on correctly. Now everything is stained. You'd think that if you spent $35 on 3 items they'd at least be sealed correctly,2023-10-19T21:52:13.967Z,0,,72,TRUE,,,6 months ago,,,,$30–50,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQ1bUk2ZEV3EAE,,,,,,,Google,,105222605990567044553,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,Delighted to discover this plant based food restaurant. Delicious Buddha bowl and lentil salad 😍,2023-10-07T16:22:28.476Z,0,,10,FALSE,,,6 months ago,,Lunch,,$10–20,Highly recommend,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURaay1mNWZBEAE,,,,,,,Google,,103720322041285227261,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Great food, good coffee, and friendly people.",2023-10-03T17:14:12.818Z,0,,3,FALSE,,,6 months ago,,Other,,,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURaeWEzcnpRRRAB,,,,,,,Google,,116672304382422207995,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"Great addition to the neighborhood! So glad they’ve finally opened! I got the acai bowl and my husband had the avo toast with eggs - big portions & delicious, will definitely be making this a new spot! Great patio too",2023-09-17T15:51:12.235Z,0,,51,TRUE,,,7 months ago,,Breakfast,,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNaMDkteTF3RRAB,,,,,,,Google,,105196466015325240939,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,"This place is the best! So happy to have it  in our neighborhood. Finally some healthy and vegan/veg friendly options in Roslindale. Smoothies, Buddha bowls, avocado toast... The service was great and the food was fresh and delicious. My kids felt welcome. Nice seating area. Good music. 👍 5/5. Will definitely be coming back. 😀",2023-09-14T19:30:40.389Z,0,,148,TRUE,,,7 months ago,,,,,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNabGZXbVVREAE,,,,,,,Google,,103245706535337071340,,,,,,,,,,,,,,,,,,,,,,,
Love and Light Juice Bar,5,Great healthy options! The açaí bowl was served in a margarita glass which was fun and the Buddha bowl was delicious with lots of crunchy chickpeas!,2023-09-11T00:33:30.953Z,2,,12,TRUE,,,7 months ago,,Brunch,,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNaN3FYMW1BRRAB,https://lh5.googleusercontent.com/p/AF1QipP2cGDgROsfA5bVNTSN6EL1TcDsGuXMIQcuTDeh=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM6aJGRfU0lUoLdmERuHkB7KKvdr3lwplQatNat=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNfHlHEMUTZ0zOP1xxdAIZ6nrWVi7qfPq5ao1xF=w150-h150-k-no-p,,,,Google,,107848150308367386861,,,,,,,,,,,,,,,,,,,,,,,
Sloane’s,4,"Menu is a bit ""limited"", but I got the steak and potatoes, and it has definitely surpassed my expectations. Portions were definitely enough for me.

Steak, I'd give a solid 7.5, maybe 8/10. Good texture. Good taste. Very good. Would recommend.

Mashed Potatoes, I've had a lot of places that had very mediocre mashed potatoes where I would just leave it on my plate, but these mashed potatoes with the gravy were pretty good and I finished all of it. Perfect amount of gravy for the mashed potatoes, too. 7-7.5/10.

Carrots, I'm not a fan of carrots generally speaking. For carrots, these were good. Like 6/10 above average good. But the entire time I was eating the carrots, I just thought to myself, ""I wish these were sweet potatoes... but maybe that's just too much potato in the entree"".

Adding this place to my mental list of ""places to go to for a good steak"". I'm definitely going to have my family and friends try this place to get their opinions as well as try their other dishes.",2024-04-22T19:18:36.769Z,0,,66,TRUE,,,a day ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUREX0xyYWd3RRAB,,,,,,,Google,,114934463886661600948,,,,,,,,,,,,,,,,,,,,,,,
