title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking space,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,,,,,,,
Sicilian Pizza,5,It has been a very long time since I ate a delicious pizza like this. All fresh ingredients and perfectly cooked. Not to mention that very generously added toppings!!! Go Sicilian Pizza go !!!!!!,2023-07-30T16:13:05.229Z,0,,1,FALSE,,,8 months ago,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNwM09Ecm5nRRAB,,,,,,Google,,102328429522524671082,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,,2023-06-25T19:11:04.339Z,0,,14,FALSE,,,9 months ago,,,,,Delivery,,5,,ChdDSUhNMG9nS0VJQ0FnSUNKLW95TDlBRRAB,,,,,,Google,,112795480498146895076,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,4,"I was disappointed no tomato sauce. I didn't
know selecting garlic sauce would replace it. I thought it would be a side for dipping or pouring on pizza. Pizza was ok.",2023-06-23T03:00:25.382Z,0,,7,FALSE,,,10 months ago,,Dinner,,,,,3,4,ChdDSUhNMG9nS0VJQ0FnSUNKdk1hWGl3RRAB,,,,,,Google,,115917818595848799068,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,4,Good pizza and wings!,2023-06-18T02:21:31.149Z,0,,9,FALSE,,,10 months ago,,,,,,,4,5,ChZDSUhNMG9nS0VJQ0FnSUR4djRqakRREAE,,,,,,Google,,110986720103894281485,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,"I ordered the 14"" pizza last night and it was great! Nice people and fast service",2023-06-08T04:14:40.613Z,0,,86,FALSE,,,10 months ago,,Other,$10–20,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUR4anF6eV9BRRAB,,,,,,Google,,110443596526772629786,,,,Plenty of parking,,,,,,,,,,,,,,,
Pizza Hut,5,,2024-04-15T16:12:33.359Z,0,,3,FALSE,,,a week ago,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUREOTg2WTZnRRAB,,,,,,Google,,116585534180789493900,,,,,,,,,,,,,,,,,,,
Pizza Hut,3,,2024-04-11T20:14:18.939Z,0,,28,TRUE,,,a week ago,,Dinner,$20–30,,Delivery,,,,ChdDSUhNMG9nS0VJQ0FnSURELWR1M2xnRRAB,,,,,,Google,,108028969354721157754,,,,,,,,,,,,,,,,,,,
Pizza Hut,1,By far the worst customer service ive ever dealt with. Totally forgot why i dont order from there. Ordered 8pm. Called 9pm because said food out for delivery. They said still chilling here and not out maybe 10. Its 11pm. Food was supposed to be here at 844pm. Im bout to go to sleep. And this same thing happened last year! Totally forgot why their service is by far the worst. Took this to upper management.,2024-04-11T02:46:10.632Z,0,,6,FALSE,,,a week ago,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUREc2MtcVJREAE,,,,,,Google,,109426221357559354221,,,,,,,,,,,,,,,,,,,
Pizza Hut,5,this location donated to my children’s school for autism awareness month. The manager was very nice and was accepting when asked for donations. Thank you so much you made my children and their friends day! Happy Autism Awareness month!,2024-04-01T16:03:29.121Z,0,,8,FALSE,,,3 weeks ago,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNEeTdMdkhnEAE,https://lh5.googleusercontent.com/p/AF1QipNFJnNhsO9YJrUCDd0y_QeWpuLD2JP4-TcDO-R2=w150-h150-k-no-p,,,,,Google,,104184483263791318791,,,,,,,,,,,,,,,,,,,
Pizza Hut,2,So slow,2024-03-27T19:26:03.778Z,0,,1,FALSE,,,3 weeks ago,,,,,Take out,2,3,2,ChZDSUhNMG9nS0VJQ0FnSUNENXVxRE5REAE,,,,,,Google,,114877479048730826176,,,,,,,,,,,,,,,,,,,
Pizza Hut,4,Food was hot I ordered large sausage pepperoni green pepper extra cheese it was delicious and they actually added the extra cheese and they where open after 1 so I was definitely 😊,2024-03-21T17:45:03.375Z,0,,5,FALSE,,,a month ago,,Dinner,$1–10,,Take out,4,5,5,ChdDSUhNMG9nS0VJQ0FnSUQ5aDRhWmxnRRAB,,,,,,Google,,117314968211146079972,,,,,,,,,,,,,,,,,,,
Pizza Hut,4,The service was good. The selection is very good.,2024-03-20T20:48:36.219Z,0,,67,FALSE,,,a month ago,,Lunch,$10–20,Somewhat recommend,Take out,4,4,5,ChdDSUhNMG9nS0VJQ0FnSUQ5c19PMHNRRRAB,,,,,,Google,,110127458067100929027,,,,,,,,,,,,,,,,,,,
Pizza Hut,2,"Genuinely one of the most depressing dinner experiences I’ve ever had. Dystopian entry way, long wait times, and absolutely absurd prices. Also. They have a centralized call center to take pizza orders!! You can’t even call the local pizza hut, and the people on the phone have no clue what they’re doing. Was left on hold for 15 minutes before i hung up. I’m not even that old, and even i can remember when pizza hut a universal, fine, itch that scratch meal you had to have every once in awhile. Worst. Pizza was ok at least.",2024-03-15T01:23:49.825Z,0,,4,FALSE,,,a month ago,,Dinner,$20–30,,Take out,1,3,2,ChZDSUhNMG9nS0VJQ0FnSUQ5MHFUeEl3EAE,,,,,,Google,,116168372614375668602,,,,,,,,,,,,,,,,,,,
Pizza Hut,4,,2024-02-25T20:51:09.742Z,0,,1,FALSE,,,a month ago,,Dinner,$10–20,,Take out,3,5,5,ChdDSUhNMG9nS0VJQ0FnSURkMVotTW5nRRAB,,,,,,Google,,103786275940550536875,,,,,,,,,,,,,,,,,,,
Pizza Hut,5,,2024-02-19T23:37:35.476Z,0,,7,TRUE,,,2 months ago,,,,,,2,5,3,ChZDSUhNMG9nS0VJQ0FnSUNkXy1lbE5REAE,,,,,,Google,,102814028324757193671,,,,,,,,,,,,,,,,,,,
Pizza Hut,1,El.personal muy mal,2024-02-18T21:55:02.419Z,0,,6,FALSE,,,2 months ago,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUNkeE9EYlVREAE,,,,,,Google,,107152286581090413830,,,The staff very bad,,,,,,,,,,,,,,,,
Pizza Hut,2,"First, I called to place an order, was told that the system is not recognizing my address, I tell the female that I live two blocks away, she says that she's going to get the manager to assist, as I'm waiting to speak to him and then the phone is hung up. I called back a few times. I then place an order online for delivery, I call for the status and was told by the manager that it's going to be about 45 minutes because he doesn't know where the driver is but needed to charge me additional money, I then have to go and pick it up if I want to actually eat! I go to pick it up and it's not hot and asked for the refund for delivery charge, he gave me an extra pizza to make up for the trouble. To say the least, I will not be going back, terrible customer service and they need to fix their system.",2024-02-17T17:07:38.970Z,0,,34,FALSE,,,2 months ago,,Dinner,$10–20,,Take out,1,3,1,ChZDSUhNMG9nS0VJQ0FnSUNkX2ZXdGF3EAE,,,,,,Google,,110727091795852456104,,,,,,,,,,,,,,,,,,,
Pizza Hut,5,Friendly love pizza hut number one,2024-02-16T02:25:04.823Z,0,,53,TRUE,,,2 months ago,,Dinner,$10–20,,Delivery,4,4,4,ChZDSUhNMG9nS0VJQ0FnSUNkc2JXQk9BEAE,,,,,,Google,,112016206833582506371,,,,,,,,,,,,,,,,,,,
Pizza Hut,1,"Ordered my pizza @12:00 ahead of the superbowl which was at 6:15 pm. 2 large pizzas. Long line at this location.m…several people left in frustration. I don’t think this staff made 1 single pizza….I waited in line for almost an hour. No answer from no one….I’ve ordered pizzas for Super Bowl Parties before from Dominoes….never had a problem…I know it’s a busy day, but still I shouldn’t have to lose my money along with several other people who left …..",2024-02-12T05:33:32.156Z,0,,10,FALSE,,,2 months ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNkcE9MTVBnEAE,,,,,,Google,,103689307566741741661,,,,,,,,,,,,,,,,,,,
Pizza Hut,1,I order my pizza online I post in the notes to lightly cook my pizza and this how my pizza look,2024-02-10T23:11:40.971Z,0,,1,FALSE,,,2 months ago,,,$50–100,,Take out,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUNkcUtuOUxnEAE,,,,,,Google,,107091460337567237569,,,,,,,,,,,,,,,,,,,
District Rico,5,,2024-04-23T22:04:37.396Z,0,,16,TRUE,,,19 hours ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNqaGZtNm1nRRAB,,,,,,Google,,100759228381770346119,,,,,,,,,,,,,,,,,,,
District Rico,5,Best grilled chicken in Washington,2024-04-23T18:16:59.210Z,0,,357,TRUE,,,23 hours ago,,Other,$10–20,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNqLWN6VjJnRRAB,https://lh5.googleusercontent.com/p/AF1QipPP-DAAMfDI-5fXfJ1ggk_z0nSNTwSGEyy3AS4X=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPC-Xl6gn702xzjqwaxCib9AFqSeZ0vlZ-s_rAm=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOsUOG5nRemYw80740BcGE2Gg6uWg3MlkF5NlcU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNu-2ZVFK5p-pZeNq7vwrF4M8hk83EQSWQrjZB6=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOQrRcDEoJB3J-1G_4ofD0UGLBIbkP7X3Dt0TDr=w150-h150-k-no-p,Google,,114244709700924885225,,,,,https://lh5.googleusercontent.com/p/AF1QipPbrSJCyDO_J6_QdvIaeZeDs0yGsEtvKLdcHNaT=w150-h150-k-no-p,,,,,,,,,,,,,,
District Rico,5,,2024-04-15T21:19:40.963Z,0,,31,TRUE,,,a week ago,,,,,,5,5,5,ChRDSUhNMG9nS0VJQ0FnSUREejZNYRAB,,,,,,Google,,100160576825960310396,,,,,,,,,,,,,,,,,,,
District Rico,4,"Chicken was amazing,  fries were great but the chickpeas were not my favorite.",2024-04-15T00:59:58.910Z,0,,164,TRUE,,,a week ago,,Dinner,$10–20,,,5,4,5,ChdDSUhNMG9nS0VJQ0FnSUREaDdmaHFBRRAB,,,,,,Google,,105233676291591915765,,,,,,,,,,,,,,,,,,,
District Rico,5,,2024-04-14T23:34:42.665Z,0,,3,FALSE,,,a week ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUREaDc3aVpREAE,,,,,,Google,,104396216292882739995,,,,,,,,,,,,,,,,,,,
District Rico,5,Excellent and the coleslaw was off the hook,2024-04-11T19:01:42.589Z,0,,18,TRUE,,,a week ago,,Lunch,$50–100,,Take out,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURELVliOHdBRRAB,,,,,,Google,,100687283674082309932,,,,,,,,,,,,,,,,,,,
District Rico,5,"This place is hands-down my favorite fast casual in DC. Fast, high quality, great value, and fresh. Just go here if you're looking for something and read this review.

Oh 100% get the plantains everytime!! The tomato onion salad is good too if you like onions! (Tomato people won't like it as much but I think it's perfect)",2024-04-08T21:22:34.663Z,0,,37,FALSE,,,2 weeks ago,,Dinner,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURENXZEM2x3RRAB,,,,,,Google,,100734415037248626270,,,,,,,,,,,,,,,,,,,
District Rico,5,,2024-04-06T16:55:17.049Z,0,,670,TRUE,,,2 weeks ago,,,,,,4,5,5,ChdDSUhNMG9nS0VJQ0FnSUREN09ubjR3RRAB,,,,,,Google,,106258283218473876676,,,,,,,,,,,,,,,,,,,
District Rico,4,,2024-03-31T19:23:56.519Z,0,,,FALSE,,,3 weeks ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNEX1lidkNnEAE,,,,,,Google,,111182829008569741041,,,,,,,,,,,,,,,,,,,
District Rico,4,,2024-03-28T11:02:28.698Z,0,,225,FALSE,,,3 weeks ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNEcm9DaTFRRRAB,,,,,,Google,,106288449462294538347,,,,,,,,,,,,,,,,,,,
District Rico,5,,2024-03-26T05:23:25.186Z,0,,4,FALSE,,,4 weeks ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNEb3RfSnd3RRAB,,,,,,Google,,102796495292187426548,,,,,,,,,,,,,,,,,,,
District Rico,5,,2024-03-24T19:04:49.913Z,0,,,FALSE,,,4 weeks ago,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNEbE9qUmFnEAE,https://lh5.googleusercontent.com/p/AF1QipP5g9yu3VRCz7eXcbw1FGF1SMTn6OBUR3_O1IVL=w150-h150-k-no-p,,,,,Google,,115904006795556203918,,,,,,,,,,,,,,,,,,,
District Rico,5,I always wanted to try it but never had the time to until a few weeks ago I Treated Me and my Nephew/Oldest Son💙💯💪🏾‼️,2024-03-24T11:42:30.519Z,0,,1,FALSE,,,a month ago,,Dinner,$50–100,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNEaEpxNVJBEAE,,,,,,Google,,116033196285853944367,,,,,,,,,,,,,,,,,,,
District Rico,5,Good food. Reasonable prices,2024-03-21T02:49:55.980Z,0,,29,TRUE,,,a month ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQ5eTREM05nEAE,,,,,,Google,,104815666483184987777,,,,,,,,,,,,,,,,,,,
District Rico,5,Delicioso el pollo a la brasa. 😘👍,2024-03-21T00:56:13.782Z,0,,7,FALSE,,,a month ago,,Lunch,$20–30,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURaaGIyQkdREAE,,,,,,Google,,107186184883345140388,,,Delicious grilled chicken. 😘👍,,,,,,,,,,,,,,,,
Heights Seafood,5,,2024-04-22T17:47:07.533Z,0,,1,FALSE,,,a day ago,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqNGV1X1FBEAE,,,,,,Google,,103432001786469282534,,,,,,,,,,,,,,,,,,,
Heights Seafood,3,,2024-04-17T16:47:34.195Z,0,,3,FALSE,,,a week ago,,,,,,3,2,,ChZDSUhNMG9nS0VJQ0FnSUNqMk42MldBEAE,,,,,,Google,,101978267329494088758,,,,,,,,,,,,,,,,,,,
Heights Seafood,4,This place and the people are nice. They give you nice portions of good food.,2024-04-10T19:55:56.209Z,0,,8,FALSE,,,a week ago,,,,,,4,4,4,ChZDSUhNMG9nS0VJQ0FnSUREa2FQUE9nEAE,,,,,,Google,,113391372181941239442,,,,,,,,,,,,,,,,,,,
Heights Seafood,4,,2024-04-07T16:01:49.381Z,0,,81,TRUE,,,2 weeks ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUREc3FUcV9BRRAB,,,,,,Google,,114825444053302857601,,,,,,,,,,,,,,,,,,,
Heights Seafood,5,Off The Hook Good!!,2024-04-03T21:42:36.597Z,0,,34,FALSE,,,2 weeks ago,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNEdjVENXRRRRAB,,,,,,Google,,117596982742699833229,,,,,,,,,,,,,,,,,,,
Heights Seafood,4,,2024-03-31T12:39:23.452Z,0,,3,FALSE,,,3 weeks ago,,Lunch,$20–30,,Take out,,,,ChZDSUhNMG9nS0VJQ0FnSUNEblpEZ0dBEAE,,,,,,Google,,102090136248671243810,,,,,,,,,,,,,,,,,,,
Heights Seafood,5,,2024-03-23T23:07:32.400Z,0,,23,TRUE,,,a month ago,,Breakfast,$1–10,,Take out,5,4,5,ChZDSUhNMG9nS0VJQ0FnSUNEcUpuN0lnEAE,,,,,,Google,,108220438698449412051,,,,,,,,,,,,,,,,,,,
Heights Seafood,5,,2024-03-21T16:07:08.014Z,0,,,FALSE,,,a month ago,,,,,,,5,5,ChdDSUhNMG9nS0VJQ0FnSUQ5MjhqZHNnRRAB,,,,,,Google,,105245556690703776489,,,,,,,,,,,,,,,,,,,
Heights Seafood,3,,2024-03-11T19:52:49.029Z,0,,,FALSE,,,a month ago,,Dinner,$1–10,,Take out,3,4,4,ChZDSUhNMG9nS0VJQ0FnSUM5djUzMUJnEAE,,,,,,Google,,111853043590428165283,,,,,,,,,,,,,,,,,,,
Heights Seafood,3,"Wasn't as good as before.  Rushing to cook food....fish soggy, fries under cooked., chicken wings not on point....",2024-02-26T18:13:53.297Z,0,,502,FALSE,,,a month ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURkdzdpTmRBEAE,,,,,,Google,,117412309710238548244,,,,,,,,,,,,,,,,,,,
Heights Seafood,5,Food is always on point. From breakfast to dinner.,2024-02-20T17:42:50.150Z,0,,5,FALSE,,,2 months ago,,Breakfast,$10–20,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURkNk5pMVpREAE,,,,,,Google,,118318230754619804882,,,,,,,,,,,,,,,,,,,
Heights Seafood,1,,2024-02-18T20:00:26.283Z,0,,,FALSE,,,2 months ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNkaF9yUlZREAE,,,,,,Google,,108442003491374924864,,,,,,,,,,,,,,,,,,,
Heights Seafood,4,,2024-02-13T03:42:16.167Z,0,,67,TRUE,,,2 months ago,,,,,,4,4,4,ChdDSUhNMG9nS0VJQ0FnSUNkak1heHRnRRAB,,,,,,Google,,107074405634563343794,,,,,,,,,,,,,,,,,,,
Heights Seafood,4,,2024-02-03T01:04:51.372Z,0,,2,FALSE,,,2 months ago,,,,,,3,4,4,ChZDSUhNMG9nS0VJQ0FnSUR0ck4zOENBEAE,,,,,,Google,,115409747845650364042,,,,,,,,,,,,,,,,,,,
Heights Seafood,3,,2024-01-27T01:20:38.130Z,0,,4,TRUE,,,2 months ago,,Breakfast,$10–20,,Take out,3,3,4,ChZDSUhNMG9nS0VJQ0FnSUROMTZIUFd3EAE,,,,,,Google,,105183760777092260823,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,5,"Smells good, taste good, great service, I really enjoy the place!",2024-03-29T15:48:35.980Z,0,,11,FALSE,,,3 weeks ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNEc2ItV3pnRRAB,,,,,,Google,,105802627219796603868,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,3,"The place isn't the most appealing, but their food is great! I have lived in the immediate neighborhood (DC native born and raised otherwise) for about 2.5 years and only started going here last year off of a bartender's recommendation as what he called ""the best fried chicken"" when it came to ordering out. I doubted him, I did.

Now, I won't say it was the BEST, but it certainly was some real good fried chicken. And the pieces were great sizes. I always get dark meat, if that matters. Burgers, onion rings, and their biscuits are fantastic as well. When I did order burgers, always the Mushroom Swiss. But I haven't gotten anything but fried chicken there since last summer, so I can't say much about it today?

I must note, within the past few months, I've noticed their fried chicken is consistently smaller than they used to be. They taste fine still, but due to being significantly smaller, they're not as juicy. I unfortunately don't find it to be as worthwhile for that anymore. Maybe I'll try their burgers again and see if that changed at all.",2024-03-12T04:37:46.711Z,0,,33,TRUE,,,a month ago,,Dinner,$10–20,,Take out,3,5,4,ChRDSUhNMG9nS0VJQ0FnSUQ5d1AwRBAB,,,,,,Google,,111410142455382668473,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,3,The chicken thigh was good until I got to the middle. It wasn't cooked fully.  I hope I don't get sick. The rest of the food was good.,2024-02-28T01:14:21.638Z,0,,66,TRUE,,,a month ago,,Dinner,$10–20,,Take out,,3,,ChZDSUhNMG9nS0VJQ0FnSURkaDR1OEV3EAE,,,,,,Google,,116431441627706487038,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,1,"Huge disappointment:( Tasteless.

Ready before buy:(",2024-02-25T03:24:30.626Z,0,,186,TRUE,,,a month ago,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSURkbWR2R0N3EAE,,,,,,Google,,111305819915140048229,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,1,I should've read the reviews first... Small and tasteless. I'll leave it at that.,2024-02-03T23:39:09.242Z,1,,24,FALSE,,,2 months ago,,Lunch,$10–20,,Take out,3,1,3,ChdDSUhNMG9nS0VJQ0FnSUR0MnZEdXBnRRAB,https://lh5.googleusercontent.com/p/AF1QipOW2pUGbBmAgCaQiXSsdxiWbazIj2qN2sJZYqOO=w150-h150-k-no-p,,,,,Google,,102881858795683566703,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,2,"Food is fine, nothing amazing. Nowhere to sit. Tables are all roped off. No bathroom either. Not sure why. Workers were quiet and not super helpful. Disappointing",2024-02-02T18:58:19.525Z,0,,26,TRUE,,,2 months ago,,Lunch,$10–20,,Take out,2,3,2,ChZDSUhNMG9nS0VJQ0FnSUR0MU9iNUNnEAE,,,,,,Google,,103060638121472521600,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,2,"I just received the most bland, tasteless chicken that I have ever eaten from here before. It was so unseasoned, it didn't even have a smell. The biscuits have been changed, were dry, they had no honey butter on them. This Krispy Krunchy Chicken used to have the tastiest fast food chicken on the market, it was my go-to, but it clearly has some serious quality issues lately or maybe new ownership has all their attention placed on their burger business at the same address instead. So disappointed, what a waste of money and calories! I won't be ordering from this location again!",2024-01-27T23:48:21.853Z,3,,13,FALSE,,,2 months ago,,,,,,,1,2,ChZDSUhNMG9nS0VJQ0FnSUN0NE15alBREAE,,,,,,Google,,111874919125203828856,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,5,,2023-11-23T21:44:52.186Z,0,,1,FALSE,,,5 months ago,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNsOVptSzR3RRAB,,,,,,Google,,104069603731559222161,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,1,Worst cashier ever,2023-11-23T21:06:59.059Z,0,,2,FALSE,,,5 months ago,,,,,,,,1,ChdDSUhNMG9nS0VJQ0FnSUNsOWQ3N19nRRAB,,,,,,Google,,114815835297014743921,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,5,I order tenders from Krispy Krunchy Chicken at least once a week! They are so torch 🤣🔥 do yourself a favor & check them out.,2023-11-11T14:31:30.247Z,0,,88,TRUE,,,5 months ago,,Dinner,$10–20,,Delivery,,5,5,ChZDSUhNMG9nS0VJQ0FnSURGajhMaWFnEAE,https://lh5.googleusercontent.com/p/AF1QipNMjgZEc4phKTa8Q-EIx6cd5pv9P2aOnGV2XZfM=w150-h150-k-no-p,,,,,Google,,109959754674077194948,,,,,,,,,,,,,,,,,,,
BurgerIM & Krispy Krunchy Chicken,1,,2023-10-17T15:51:42.422Z,0,,50,TRUE,,,6 months ago,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUM1cDRMb0l3EAE,,,,,,Google,,108249671521437390384,,,,,,,,,,,,,,,,,,,
