title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewImageUrls/35,reviewImageUrls/36,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options
The Original French Market Restaurant and Bar,1,Wonderful New Orleans food with no added artificial flavor but horrid service. Don't ever visit this place if you are not in groups of four or more because the waiters will simply ignore you or treat you atrociously,2024-04-22T01:54:22.048Z,1,,4,FALSE,,,2 days ago,,Dinner,,$30–50,,Dine in,2,4,1,ChZDSUhNMG9nS0VJQ0FnSUNqbnEydURnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,109679546306986369208,,,,
The Original French Market Restaurant and Bar,5,,2024-04-21T19:34:38.023Z,0,,16,FALSE,2024-04-24T19:13:46.047Z,,3 days ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqcnRHQWZREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,106831197262821970206,,,,
The Original French Market Restaurant and Bar,1,"We waited 20 mins to be seated when there were a ton of open tables. Our waiter came to our table with a runny nose, like fully running from his nostril to his lip, wiped it with his open hand, then continued to serve us as his nose ran, he wiped it into his palm, then handled our food and drinks. They have the audacity to charge $18/lb for crawfish after prices everywhere else dropped to $6/lb. The service was painfully slow, the waiter was miserable, the bathrooms atrocious, and the food was some of the worst I've ever had at a cost much too steep. Skip this place entirely.",2024-04-21T15:02:21.809Z,0,,19,FALSE,,,3 days ago,,Lunch,,$100+,,Dine in,1,1,1,ChdDSUhNMG9nS0VJQ0FnSUNqeHRqSHBBRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,103662949003543920934,,,,
The Original French Market Restaurant and Bar,5,This is a very busy place most of the time but parties of 4 or less can usually be seated relatively quickly.  It's crowded and noisy but there is an energy that makes it ok!  The food is AWESOME and well worth the crowd and noise.,2024-04-21T12:30:43.381Z,0,,190,TRUE,2024-04-22T16:40:41.800Z,,3 days ago,,,,,,,4,5,4,ChdDSUhNMG9nS0VJQ0FnSUNqOW9hWnJRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,111491631953317128290,,,,
The Original French Market Restaurant and Bar,5,Still my favorite restaurant in New Orleans!,2024-04-20T23:26:58.878Z,0,,16,FALSE,2024-04-24T19:13:57.792Z,,3 days ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqcHZiWkpREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104452544173195360387,,,,
The Original French Market Restaurant and Bar,1,,2024-04-20T18:38:51.954Z,0,,1,FALSE,,,4 days ago,,Lunch,,$100+,,Dine in,3,1,3,ChdDSUhNMG9nS0VJQ0FnSUNqaHVIV3h3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,101822631868853458549,,,,
The Original French Market Restaurant and Bar,4,"Food is yummy,",2024-04-17T03:09:43.214Z,0,,8,FALSE,2024-04-24T19:14:15.695Z,,a week ago,,Dinner,,$50–100,,Dine in,4,4,4,ChdDSUhNMG9nS0VJQ0FnSUNqOE5EcjZBRRAB,https://lh5.googleusercontent.com/p/AF1QipP6pL3B-vk-RKnPp-XJZu4HXUKCBcQCtHu5E1na=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOIRYL3ZVH0a76J05qkOZBwVATfEy1yxckTda4X=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNgafO1UvPkgeKCNlL-3vvhVT_A39fnnvDXVmpt=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,105493769475512106812,,,,
Smoothie King,1,They stole from me make sure you keep your receipt they entered there own tip I refuses to give $20 for a $9 smoothie f that,2024-03-01T02:06:49.812Z,0,,2,FALSE,2024-03-01T14:59:07.499Z,,a month ago,,,,$1–10,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUM5cU9fTkxREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104915354170345989311,,,,
Smoothie King,5,świetna arena. pelikany kontra chicago bulls. ekstra atmosfera. polecam kazdemu,2024-02-26T10:11:09.445Z,0,,203,TRUE,2024-02-26T14:31:57.451Z,,a month ago,,,,$50–100,,Dine in,5,3,4,ChZDSUhNMG9nS0VJQ0FnSURkN2J2N1VnEAE,https://lh5.googleusercontent.com/p/AF1QipNezKx_8BmMWz_HHcrkJ0mPnO0yEToajktmbPPj=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,115712925268240725511,,,great arena. Pelicans vs. Chicago Bulls. great atmosphere. I recommend to everyone,
Smoothie King,1,"A/C SHOULD NOT BE ON WHEN ITS 40 DEGREES OUTSIDE ITS FREEZING IN HERE very disappointed.
The only thing y'all can do that will make me return and not driving an hour or two somewhere else to see this event is not to turn the freaking AC on in 40° weather that was absolutely ridiculous and I even told one of the ushers and the only thing her stupid self can say is I don't know they always turn it on I have attended so many events there I will not be back until something is done",2024-01-23T17:21:07.926Z,0,,44,TRUE,2024-01-23T14:24:56.910Z,,3 months ago,,,,,,,1,3,3,ChZDSUhNMG9nS0VJQ0FnSUROZ2ZXVlRREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,110082032940655012085,,,,
Smoothie King,5,,2023-12-24T01:13:33.886Z,0,,11,TRUE,2023-12-24T17:11:15.122Z,,4 months ago,,,,,,,5,4,5,ChZDSUhNMG9nS0VJQ0FnSUMxOU43TVpREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,102193873874611256371,,,,
Smoothie King,4,,2023-12-20T06:02:01.853Z,0,,409,TRUE,2023-12-20T16:55:59.599Z,,4 months ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUMxd0s3WHRnRRAB,https://lh5.googleusercontent.com/p/AF1QipP7BlO97MyEtRCKIBe0havVPUXrcio04AlZmon1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN5kJ0EYZrH12Trl7b-cEN5NZw4zEsIfZKoD5yP=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113646183340477268271,,,,
Smoothie King,4,Great game and wonderful day had a great time,2023-11-30T05:43:23.016Z,0,,234,TRUE,2023-11-30T18:14:44.039Z,,4 months ago,,,,,,,4,4,4,ChdDSUhNMG9nS0VJQ0FnSURsLUxTQzdRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113075899331461570080,,,,
Smoothie King,1,Three Point Grill philly cheesesteak sandwich was very nasty. I paid $15.99 for stale bread and overly greasy previously frozen meat. The potato chips were soggy because the frozen meat was so greasy. Three Point Grill should be removed from the list of food vendors at the Smoothie King Center.,2023-09-19T22:58:18.662Z,1,,9,FALSE,2023-09-20T15:21:32.096Z,,7 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNabDZUTlhBEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,105154618006368323493,,,,
Smoothie King,5,Such good service!! Ten out of ten recommend going to this smoothie king! The workers were so kind and got my smoothies out in no time!,2023-09-19T20:04:08.030Z,0,,2,FALSE,2023-09-19T20:37:30.358Z,,7 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNaNTlHaVpREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,107164924398364826184,,,,
Smoothie King,5,,2023-03-20T02:46:58.079Z,0,,8,TRUE,2023-03-20T17:02:06.461Z,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURoMTdMS3V3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113194966271627162366,,,,
Smoothie King,5,,2023-03-13T02:28:41.430Z,0,,552,TRUE,2023-03-13T21:17:03.975Z,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURoLVpxX3VRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,110584701204588498164,,,,
Smoothie King,5,,2023-01-17T15:49:37.884Z,0,,105,TRUE,2023-01-17T18:18:13.957Z,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURCLXJpcjRRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,111619388859737833472,,,,
Smoothie King,5,Great venue and great experience. First NBA game and really enjoyed it. Pre game entertainment was great and the interaction with the fans during time outs and half time was really good.,2022-12-06T15:28:14.741Z,0,,26,TRUE,2022-11-22T16:53:01.466Z,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQtdE5TUDRRRRAB,https://lh5.googleusercontent.com/p/AF1QipNNLKrwD_3sj-yRZ7ZyOERWawPBYWlzSG65zPud=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNmLfJiSIrgjGQVnx4koapNUYMhuliwbATpO4wh=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMeJcOGSPEf3xieGJmMtsDmm-pDtVRknRjQWYOO=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113007234550434874949,,,,
Smoothie King,5,,2022-11-25T10:26:49.980Z,0,,,TRUE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQtNHNuckV3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113600777998156300221,,,,
Smoothie King,5,,2022-06-20T22:55:33.840Z,0,,16,TRUE,2022-06-21T15:08:09.423Z,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNPdTcyM2J3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104167982271741347485,,,,
Smoothie King,5,,2022-03-05T16:06:47.812Z,0,,61,FALSE,2022-03-06T17:04:27.520Z,,2 years ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNXNDRiZ3pRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104665895782939974836,,,,
